Area (m2),Frontage (m),Access Road (m) ,Floors,Bedrooms,Bathrooms,Price (B VND)
145,9,6,1,3,2,4.3
80,,54,7,,,5.1
39,,,5,4,3,4.7
38,,,2,2,1,4.95
86,,,2,4,2,8.2
90,5.5,8,3,4,4,4.4
50,,2,5,8,5,8.6
30,5,6,3,4,3,2.48
56,,,4,6,6,8.9
38,,3.5,4,3,4,5.85
12,,,2,2,2,2.45
65,5,,7,,,7.6
75,4,6,3,3,3,9.49
75,,,,,,5.5
114.7,4.5,5,2,2,2,2.25
55,5,5,5,4,5,8.5
105,5,10,2,4,4,9.49
100,5,,,,,5.3
68,5,5,3,4,4,6
170,,,,,,9
60,4.5,4,3,5,3,6.8
70,4.5,,3,3,4,6.8
50,,,5,5,4,9
95,,,3,,,4.75
108,6,16,3,4,4,7.8
64,,13,3,4,4,3.25
62,5,3.5,1,3,2,3.25
70,4.5,4,3,3,4,6.8
53,,,3,4,3,6.79
22.7,,,4,,,1.5
38,4.6,,5,8,8,9.3
58,4.25,6,3,3,3,5.2
75,5,15,3,4,3,3.45
274.8,9.88,6,1,4,2,2.2
100,8,60,,,,7.6
72,4,16,4,4,4,7.8
125,5,,3,3,4,7.8
34,,,5,3,,7.6
34,,,4,3,3,4.98
65,6,,,6,3,7
60,,8,2,3,2,3.1
100,,20,4,,,6.49
45,4,4,4,4,3,4.35
120,5,6,,7,7,4.7
20,,,5,3,,3.85
34,4,,5,4,4,5.72
64,4.2,4,3,4,4,6.85
31,3.3,2,3,3,3,4.6
150,5,6,3,4,4,5.9
67.2,,,5,4,4,7.65
90,5,69,4,4,3,3.6
52,4,10,4,4,5,5.95
44,4.5,2.5,4,4,4,4.55
48,8,,,,,9.5
48,4,6,5,4,4,6.3
93,4.2,4,1,2,1,5.7
68,,8,5,4,4,7.5
56,4,,4,4,4,6.9
76,4.55,,3,3,4,5.9
45,5,,4,,,5.38
67.5,6,6,4,,,8.5
49.8,,,3,,,8.5
50.6,,,5,6,5,5.7
85,,,3,4,3,2.25
31.5,,4,2,2,2,1.05
52,4.1,,3,3,3,5.05
64,,8,2,3,2,3.25
64,,5,4,4,4,6.7
33,,,,,,3.7
48,4.1,6,4,4,4,6.9
50,5.2,,5,,,9.39
47,4,4,3,5,4,6.2
93,8.2,12,4,6,4,7.9
362.4,,8.5,,,,1.5
65,4.2,,4,4,5,8.3
100,5,5,,7,7,6.9
50,3.6,2,4,3,3,5.9
97,,18,3,4,4,9.65
65,,,,2,2,5.2
95,6,5,,2,1,3
48,4,,5,9,9,9.3
45,3.5,4,2,3,3,6.4
44.6,,,2,2,2,1.7
360,,,1,1,1,1.6
74,6.55,10,3,3,3,9
208,8,12,1,2,2,3.5
30,3.5,3,4,3,,3.85
40,,,,,,4.5
37,,,1,,,2.6
46.6,,,3,3,2,1.72
52.6,,5,,4,2,4.7
33,,,5,3,3,6.5
45,,,5,4,,8
43.8,3.38,5,4,4,3,5.9
62.5,5,30,5,6,4,7.5
38,4,3,6,5,5,7.5
30,3.1,,4,4,3,5.35
31,3.09,3,4,,,3.5
64,,8,4,4,5,8.8
120,5,5,2,3,3,3.8
50,,,5,6,4,7.5
45,4.7,4,5,6,5,9.6
40,,,5,5,,7.2
41,,2.5,1,1,1,2.2
40,,4,4,5,4,4.05
70.84,6.2,,,,,5.3
75,,,4,,,9
58,,,6,,,9.5
65,7,7,3,3,4,4.99
25,,,2,2,2,3.4
60,,6,5,,,8.49
136.5,6.5,5,2,3,3,4.77
120,,45,,,,8.3
88,,,2,3,3,4.9
41,,,5,,,5.95
39,4,6,5,4,5,9
60,,,2,2,2,4.9
42,4,4,4,4,4,4.6
60,,3,2,2,2,3.75
31,,,,,,2.55
100,,,3,2,2,3.1
203,,,2,2,1,8
100,,,4,4,5,7.5
105,6,4,2,5,5,3
100,4,16,3,3,3,9.35
100,5,7.5,,5,5,2.75
80,5,6,,2,2,3.4
45,4,5,4,3,3,6
70,3.8,,5,4,4,4.8
190,9,12,2,3,3,8.2
115,,16,4,4,5,6.3
35,,3,4,4,3,5.35
66.8,,12,2,2,2,3.2
125,5,8,1,1,1,3.5
40,,,5,,,7.95
75,5,5,2,2,2,1.85
42,4,,,4,,6
80,4,10,,,,8.2
376.5,10,4,,,,4.5
85,5,,,4,5,7.5
30,4,2,4,,,4.68
39,4.2,,5,3,4,7.5
48,,,2,2,2,4.2
100,12,12,1,7,7,8.4
102,6,6,2,2,2,8.9
160,48,6,,4,3,2.95
83,3.48,,3,4,4,6.8
160,,,,3,3,4.7
150,,,1,3,2,2.35
40,4,12,3,3,3,3.7
44,4.5,5,2,2,2,6.8
45,4,3,5,9,9,7.65
95,4.2,,3,3,4,9.8
94,4,6,3,3,4,7.7
75,,,2,,,7.5
74,,,,,,5.7
82,,,2,,,8
48,,,,,,5.5
56,,,,,,7
30,,,5,2,4,4.98
45.6,16,16,3,3,3,6.1
227.1,8,3,2,3,2,5.2
45.9,,,1,1,1,5.2
33,,7,3,,,4.6
45.4,5,6,3,3,3,5.1
70,,,,,,3
74,,,,,,8.7
34,,4,3,3,3,4.65
70,,,,,,8
105.5,5,4.5,2,2,2,3.75
50,4.5,,5,4,5,7.65
70,,,,,,3
42,,,4,4,3,7.8
40,,3.5,5,4,4,5.85
50,,3.5,4,5,4,7.65
180,,,,,,5
77,5,,3,4,3,2.8
64,,8,,,,6.5
62,,,,3,2,2.7
80,4.2,8,4,4,4,7.1
35,3.8,,5,3,3,4.5
35,,,2,2,2,1.93
70,,,,,,3.2
35,,,5,4,4,3.18
100,5,5.5,3,4,3,6
40,,,5,,,7.6
78,6,13,5,4,4,9.3
33,,,,3,,4.08
60,,8,3,,,9.8
102,6,3,,2,1,4.8
29,3.8,5,5,3,4,6.7
75,5,5.5,4,4,4,7.6
38,,,4,,,3.65
441,22,12,2,4,5,6.5
56,4,6,4,5,5,6.4
40,4,,4,4,3,6.9
42,4,2,5,8,8,7.9
34,7.5,,3,,,3.5
36,,7,1,2,2,2.1
75,5,5,2,2,2,3.65
35,4.7,,5,4,4,6.8
72,4,7,1,3,2,3.8
202,5,6,2,4,3,2.35
77,,,2,3,2,1.55
275,,6,,2,1,2.2
20,3.3,,4,3,3,3.35
24,,,4,,,5.1
100,,,,4,3,4.95
72,4,10,2,,,7.6
76.5,,,2,7,8,9
44.9,,7,4,4,3,8.5
57,,,3,3,4,6.6
48,4,,3,3,3,3.2
58.9,5.9,,3,3,,2.25
245,,10,,,,3.5
34,3.5,5,5,3,,3.89
104,,7,3,7,7,7.5
65,5,5,2,3,2,3.98
59,4.2,3,4,5,3,7.6
109,5.8,,2,3,,5
366,20,12,2,6,6,8.6
97.4,3.95,6,2,3,2,6.7
80,4,7.5,3,3,3,8.5
75,5,13,3,4,3,6.2
100,,4,,3,3,8.3
100,5,10.5,3,4,4,6.5
144,8,13,3,8,9,9.5
51,,,5,4,4,9.18
45,4.3,4,4,6,4,6.49
60,,8,2,,,6.8
43,4.2,8,2,,,6.99
60,4,6,3,4,4,8.2
71,4.3,2.5,3,3,3,8.7
500,11,5,,3,1,2.35
70,4,13,2,4,3,6
42,5,,4,4,,7.1
168,7,25,2,,,5.2
30,4.5,2,3,3,3,2.55
62,4,5,2,3,2,3.5
60,,7,5,4,5,4.5
43.7,4.5,10,4,3,3,8.5
203,6,35,,,,7.8
30,5,16,3,3,2,6.6
24,4,,4,3,3,4.8
42,4.5,3,4,4,,5.6
100,8,12,1,2,1,5.07
38,3.7,12,4,4,3,9.1
20,4,3,5,5,5,5.5
38,3.5,3,4,4,3,4.88
82,5,15,,2,1,2.99
100,5,,,,,6.1
37,3.6,2,5,3,3,5.65
13,2,7.5,2,1,1,1.8
36,,,3,3,3,1.69
55,5,4.5,5,6,6,5.5
60,9,8,2,4,3,1.7
95,5,11.5,3,4,3,7.2
75,5,12,3,3,5,6.25
100,5,18,3,3,4,5.95
144,6.55,3.5,,7,7,5.95
62,7.5,,2,2,2,3.2
48,4,20,5,4,5,6.3
40,,,2,2,2,1.4
77,3.85,,2,3,3,3.98
54,,5,3,,,6.8
32,,6,5,4,3,7.6
38,4,,5,3,3,4.5
36.5,,2.5,,2,2,2.05
40,4,5,4,4,4,8
82,6.1,3,2,2,1,6.5
50,,3,3,3,3,2.95
100,5.6,,2,3,2,1.75
35,4,,5,,,5.5
120,6,13,4,6,3,6.2
60,5.8,5,3,3,4,2.2
283,9.5,8,1,2,1,1.5
100,4.2,12,2,3,3,8.79
42,,5,3,3,3,3.9
45,4,3,5,6,4,3.74
45,3.6,3.5,3,3,2,9.5
52,,,4,5,,8
116,5,7,,,,3.95
203,,,2,3,3,8.68
111,5,,2,,,7.6
117.6,4.2,7,4,3,4,5.6
73,7,9,3,4,3,3.2
47,6.8,8,4,3,3,3.9
67,4,5,4,4,5,8.6
65,5,,5,4,4,7.3
48,5,,4,,,8
30,3.6,,4,,,3.9
48,,,2,2,3,6.1
100,,15.2,,,,5.78
75,5,15.2,4,4,4,4.2
150,8,16,2,3,2,2.3
44,,,5,6,,5.9
60,4,7,4,5,6,8.2
62,,,4,4,5,7.8
54,4,6,4,4,4,5.95
104,,,2,3,2,4.65
47,6,6,4,4,4,5.25
60,,8,3,4,5,7.5
300,6.4,,,3,2,6.9
56,,5,3,3,,4
203.1,7.6,12,1,2,1,8
81,4.1,12,2,2,2,8.2
112,8,16,3,5,4,2.4
53,3.5,10,3,4,4,6.2
48,,,5,7,,7.6
60,,30,2,2,2,1.8
104,5.2,,,,,7.5
54,,,3,3,3,5.65
112,8,16,2,5,3,2.7
29,,,4,3,,4.55
245,,,,3,1,7.5
64,4,6,3,3,4,6.3
54,5.8,,4,,,8.98
72,,,3,4,5,6.9
71,,,,5,4,9.5
45,7,4,4,4,3,7
164,11,60,2,4,4,9.6
60,,8,3,4,4,4.3
160,8,16,2,3,3,4.6
55,4,7,1,2,1,3.95
112,8,,3,4,3,2.4
62,,10,4,,,8.5
60,,,2,2,2,1.8
134.1,,,2,3,,6.85
24.6,5,5,3,4,3,1.75
95,,10,3,5,4,8.2
238,,6,,1,,7.6
62,,,5,,,8.5
115,,9,3,4,3,7.4
32,3.2,4,4,3,3,5.4
45,5,10,3,3,4,5.95
77,5,4,3,,,9.8
125,5,20,3,3,2,6.5
72,6,,1,,,8.2
35,,,,,,6.5
36,,2,2,2,2,1.2
39,6,5,3,5,5,7.9
75,5,8,4,4,5,6.35
45,,,5,6,6,7.5
56,,6,4,4,5,7.1
173.4,5,,1,3,1,3.2
32,,3,5,3,4,5.2
90,5,,2,5,2,9.6
142,6.95,5,1,2,1,6
36,,3.5,5,5,5,5.8
48,4,,5,3,,5.8
38,,,,,,8.86
99,5,8,,2,1,1.8
67,,10,,3,3,3.8
145,5,,,,,1.35
32,1,3,3,2,3,1.95
60,,,4,6,4,4.85
97.1,2,,1,5,3,5.9
56,,5,3,4,4,5.3
43,4,,3,2,,8.5
35,4.2,3,4,3,4,6.7
90,5,,3,4,3,9.2
60,4.5,,4,6,5,8.9
108,6,,3,4,4,7.8
44,,,,,,8.6
50,5,,5,,,10
21,3,,,,,2.65
65,,,4,4,4,9.8
60,4,,2,2,2,3.9
52.8,8,8,3,3,3,4.5
40.2,,,7,5,6,8.9
40,3.5,8,4,4,3,5.4
44,,,,,,2.8
37,,,,,,6.55
29,3.7,2.5,4,3,3,2.55
117,6,16.5,,,,7.4
75,,,4,,,4.25
75,5,,4,4,5,6.35
40,,,,,,1.85
135,9,12,3,,,7.6
60,4,,3,3,,6
42,,6,6,4,4,9.9
48,,,3,,,7.7
55,4.1,2,5,,,6.95
40,,,4,4,3,8.2
50,,,4,3,,9.8
100,,,3,3,2,6.5
48,,3,,5,,6.3
31,,,2,2,2,4.85
54,5,20,1,2,2,6.85
48,,,5,6,,5.65
51,5,5,3,3,2,4.99
65,,,4,3,3,6.15
38,,,3,4,3,4.28
50,5.4,,5,4,4,7.2
85,,8,4,4,4,8.5
45,,,4,4,,6.7
99.3,7,,2,6,3,7.5
54,,,,,,3.86
30,,,2,2,2,1.1
112,5.6,,,,,8
30,,,5,3,4,5.98
30,,2,5,3,4,4.33
40,,,6,5,7,6.5
30,,,4,5,5,6.2
41,,,,,,2.65
40,,,5,5,5,4.95
35,,,,,,6.7
63,,,5,6,7,8.5
40,,,4,5,5,6
50,,,4,5,5,7.65
31,,6,4,4,4,8.8
125,5,8,,2,2,2.55
50,4.5,,5,5,5,6.01
80,4,30,4,5,4,7.45
100,5,12,3,3,3,2.9
92,7,10,1,2,1,2.45
34,,,3,4,,7.6
85,5,5,2,3,2,4.3
60,4,,4,4,3,6.55
20,,,4,2,3,2.85
41,,,,,,2.19
16,3.6,,4,3,3,2.45
52,,,3,4,5,8.1
35,,,5,4,4,5.2
42,,,5,8,,6.6
90,,,,4,,7.2
40,,2,6,3,5,7.65
96.3,,,1,,2,4.6
30,3,,2,2,2,2.85
100,,,3,4,,7.5
78.6,6.3,,1,3,1,3.3
80,5,25,3,4,4,3.45
96,8,15,4,,,5.2
41,3.5,,5,5,5,5.7
40,4.5,2,5,6,5,7.5
62,4.5,8,3,3,3,8.8
60,4,30,5,5,5,6.3
117,,,1,6,6,8.5
35,6,,5,3,4,5
184,9.2,4,2,2,4,4.5
65,42,6,3,4,3,3.3
40,,,6,3,5,10.3
53,,,7,,,7.6
32.2,4,6,3,3,3,3.33
94,4,7,,4,,2.85
117,6.5,13,4,3,3,8
38,,,,,1,4.6
36,,3,2,3,2,1.46
32,3.3,,5,3,,6.3
100,5,8,2,3,2,3.6
51,5.1,5,3,4,3,5.7
67.5,4.5,16,,,,3.09
110,5,,,,,8.5
50,5,14,4,,,3.2
64,4,10,3,4,3,4.7
38,,2.5,5,6,4,6.6
260,,,,,,4.6
43,,,,4,4,8.5
90,6,48,3,2,4,5.3
88,6,48,2,1,2,3
35,,,5,3,4,8.2
102,6,22,4,3,3,7.2
150,10,12,2,,,6.9
25,,,4,3,3,4.8
40,,,4,3,4,6.75
20,4,2.5,2,1,1,1.85
30,3.4,12,4,3,3,5.3
70,,,5,6,3,8.7
64,4,8,2,2,1,4.3
80,4,,2,3,,5.5
62.5,8,8,1,2,1,4.5
45,,6,4,3,4,8.1
83,,,,,,6.9
35,3.8,2,5,4,3,4.5
66.7,4,5,,,,5.85
70,5,4,2,2,2,3.99
33,3.6,3,5,3,4,4.6
75,4.2,6,2,3,2,5.5
84.5,7.84,,2,3,3,7.5
60,4,5,4,,,4.7
22,,,2,2,,2.88
40,,,4,4,3,3.56
34,4,3,5,3,3,4.75
36.6,4,2,4,3,2,3.05
64,5,3,1,2,2,3.5
50,4,3,5,4,4,6.2
45,,3.5,6,4,5,9.8
45,,,4,4,4,6
60,6,10,4,5,6,5.59
65,4,7,4,5,5,6.95
50,4,,5,,,6.9
40,4.5,3,5,3,4,5.5
35,3.1,,5,6,4,6.5
60,6,,3,3,3,4.8
37,,,4,4,3,5.2
88,,,1,2,1,2.49
33,3.5,,,,,5.88
50.1,,,,1,1,2
45,,,,4,,6
33,,,,,,7.4
42,3.5,3.5,1,2,2,2.55
65,,,4,4,,7.9
45,3.8,3,5,5,4,5.8
160,20,27,3,3,4,10
120,6,8,4,6,6,8.2
100,5,5,4,1,1,3.2
90,5,8,2,3,2,4.4
45,,,4,2,3,5.68
88,4,,,3,2,3.9
60,,,3,,,3.1
72.2,,5,2,3,2,3.25
85.4,,,2,3,2,3.3
75,,,,2,2,3.45
50,4,6,2,4,3,4.75
86,4,20,3,4,5,6.8
50,,,3,3,2,7
178,8,5,1,3,1,3.9
68,6.8,5,3,4,2,8.5
55,,4.5,2,3,2,3.82
60,4,10,2,3,2,2.75
60,18,18,1,3,3,1.8
50,4.5,3,5,6,4,6.48
35,,21,,,,7.75
80,5,9,3,4,3,6.5
62,,,2,3,3,5.5
56,4,20,4,4,5,7.8
136,6.8,12,2,4,4,4.4
33.5,3.35,10,2,2,2,4.38
52,6.4,,4,3,3,5.15
30,4,2,4,3,4,4.14
100,,,2,2,2,6.99
50,,,1,2,1,2.95
30,,,2,1,2,3.5
33,3.4,2,4,3,3,5.35
22,,5,3,4,4,5.2
388,8,5,1,3,1,1.9
100,,,3,4,4,3.2
60,4,,4,4,6,7.35
35,4.3,,5,4,4,6.9
85,5,5,1,4,4,4.45
100,5,5,2,3,2,4.2
52.2,,5,3,4,3,5.3
162,,,3,5,4,8.8
103,,,2,3,2,3.3
43,,,5,4,,6.35
37,,,5,,,6.1
69,,4,,3,2,3.3
60,3.2,,,4,,7.68
50,5,9,4,4,3,7.95
41,,,5,4,,5.9
40,,,3,3,3,4.2
40,,,3,,,8.7
50,,,5,5,4,7.9
95,5,7.5,1,2,1,4.95
60,,5,5,5,5,5.5
35,,,5,3,4,5
45,,,5,4,4,5.5
67,4.3,,4,3,3,7.3
30,,,4,3,3,3.85
68,,,6,4,5,7.6
33,,,5,3,4,5.5
31,,,5,3,4,3.5
45,,,3,1,2,6.95
100,,7.5,2,4,2,4.99
90,6,,,2,1,2.65
117.5,5,5.5,2,3,2,3.55
90,5,5.5,3,4,3,3.85
32,,,5,4,4,5
60,5,3,5,7,8,6.1
375,15,7,2,3,2,9.32
100,5,12,4,,,3.55
48,,,4,4,3,6.8
82.6,,,4,6,5,7.3
32,2,3,4,3,3,4.58
36,,,4,4,4,3.8
41,,,5,8,5,8.1
36,,,7,5,7,9
55,5.2,5,5,5,5,5.5
35,,,4,,,7.25
40,,,5,3,4,6.2
130,6,,2,,,10
55,4,,1,2,1,2.9
90,7.5,7,1,2,1,5
118.5,5.5,16.5,,,,7.35
180,,,3,5,3,10
98,,,3,5,5,9.9
53,,,4,4,,8.9
42,,,4,4,3,6.5
43,,,4,4,3,7.4
144,7.6,7,,2,3,9.3
205,11,6,1,3,2,8.9
55,5,5.5,3,3,3,5.5
116,8,5,1,3,3,6.99
40.3,3.6,3,5,6,3,4.6
52,,,3,4,4,7.9
55,4,,5,3,2,8.6
75,,,3,,,8.82
57,,,4,,,7.2
45,,,3,,,3.55
70,,,4,4,3,4.85
100.4,6,,2,3,2,8.5
123,8,65,3,3,3,3.6
25,,6,5,5,4,7.15
45,5,3,5,3,4,8.5
61,,,1,2,1,6.5
53,,,2,3,2,9.3
56,4,6,3,4,4,6.7
30,,,4,4,4,3.8
66,4.3,,4,3,2,8
24,,,5,4,4,5.99
76.48,12,,4,4,4,9.6
78,,,,,,2.95
38,4.6,,4,3,3,6.1
80,,13,5,,,4.76
40,4,5,2,2,2,2.55
54.5,,,2,3,2,6
33,3.9,,5,3,5,4.5
37,5,5,6,4,5,6.45
48,4,18,7,4,7,9.2
63,3.5,14,4,7,8,8.9
72,4.5,,5,5,7,6.1
32,4,2.5,4,3,3,3.6
38,,,4,,,6.3
48,,,4,4,,8.5
27,4,4,2,2,2,3.2
132.8,4.95,6,,8,8,6.8
30,5,4,5,6,4,7
40,,,5,3,4,7.2
40,,,5,4,3,7
44,3.6,,2,,,7.2
135,12,7,5,5,5,9.5
52,,,3,3,3,4.7
65.6,4.5,,3,3,2,5.9
50,4.3,,3,,,8.3
32,,,2,2,2,3.65
65,4,5,3,3,2,5
48,5.9,12,4,6,4,9
45,5.4,4,,4,4,7.15
40,,,4,4,,6.5
37,4,,5,3,,6.8
104,6,4,2,,,8.4
30,,,,,,5.8
52,,,5,3,,8.3
30,3.5,,5,,,5.5
38,,,2,2,2,6.45
50,45,,5,6,4,7.5
48,,,2,3,3,5.5
88,4,8,3,4,5,6.8
40,,3.5,4,5,5,6.39
37,,,4,4,,6.4
60,,,2,4,2,5.5
53,,,4,4,3,7.8
46,,,1,3,3,4.4
36,4.5,2.5,5,4,4,6.9
45,5.4,5,5,4,5,7.1
36,4.62,2.2,5,4,4,5
48,4,5,2,,,3.3
31,,3,3,2,3,6
64,5,3,2,2,2,3.5
50,4,4.5,4,4,4,8.9
60,5,3,3,3,2,6.6
36,4,,2,2,2,2.8
50,,,5,6,5,5.8
34,,,5,4,4,5.5
40,,,,,,6.8
81,9,6,3,4,5,5.2
50,,,4,4,3,7.65
45,,,5,4,,6.8
48,,,5,6,5,5.9
41,,,5,4,,6.4
37,3.5,3,4,4,3,3.7
57,,,4,7,4,8.2
40,4.5,,4,2,3,4.2
52,3.5,3,5,6,6,7.5
51,5,6,3,2,2,6
40,4,12,4,3,2,5.6
86,1.95,10,,,,2.3
46,,,5,,,7.8
55,4,,4,,,7.65
35,4,2.5,2,2,2,3.38
35,,8,2,4,3,2.48
30,4,5,2,3,3,1.88
32,3.5,2,5,3,3,3.29
80,5,6,4,4,4,7.9
100,,8,1,3,2,2.3
32,3.2,4,3,4,3,1.75
85,,10,3,4,3,3.2
38,,,5,5,5,8.6
50,,,4,4,,5.98
92,,,4,,,9.4
56,,,5,,,9.4
82,6.5,5.5,3,3,2,6.8
33,3,3,2,2,2,1.37
39,3.4,,4,4,,7.8
30,,,5,4,3,7.98
68,,,2,3,,4.35
50,,,2,2,2,4
128,,,2,3,,5.5
160,9,6,3,,,6.2
264,,,1,,,7.2
34,3.4,4,4,4,3,5.7
85,5,,3,4,,6.6
48,,,5,4,4,7.2
42,,,,,,7.85
60,4,8,5,4,5,8.85
80,5,13.5,5,6,7,4.8
43,4.5,4,,7,4,6.3
40,5,3,5,3,4,7
32,,,5,6,5,4.95
62,4,5,3,3,3,2.75
36,4,16,4,4,4,5.85
57,,,4,4,5,5.6
80,4,10,2,2,2,9.89
52,,,4,,,5.8
58.1,,12,2,2,2,4.68
32,,,5,3,4,4.5
32,,,3,3,2,1.9
34,,,5,4,3,5.95
67,,,,1,1,4.4
160,8,16,3,4,4,6.2
54,,3,3,3,3,2.75
40,4,3,5,9,9,7.5
19,3.1,2,5,3,4,3.75
60,4,7,2,2,2,3.35
40,4,6,3,4,4,6.5
26,3.3,2,4,2,4,1.5
42.47,,,5,4,2,5.8
45,4,4,2,2,2,4.8
52,6,4,1,,,3.95
40,5,,4,3,3,5.6
45,3,,4,4,3,5.5
112,5,20,,,,7.6
60,4,12,2,2,2,2.55
47,5.15,14,,2,1,6.4
36,4,3,6,3,4,5.5
43,5.2,,4,4,,5.45
39,3.6,3,4,2,2,5.3
70,,,2,3,3,6.1
30,,,4,3,3,6.9
56.8,4,2,1,1,1,2.05
66,,,3,3,3,5.2
60,4,8,4,5,5,8
48,3.4,2.5,5,3,3,5.45
60,5,,2,,,9.7
37,,,5,3,,6.2
89,4.5,10,2,4,2,5.3
40,,,6,3,5,8.9
90,,,3,4,4,6.9
30,4.4,,5,3,3,4.55
33,,,3,3,2,1.7
30,,,5,3,4,3.25
47,,,5,6,,7.2
32,4,3,5,3,4,5.8
31,,,4,4,2,4.95
25,,,4,3,3,3.35
85,65,85,1,2,1,1.65
46,3,,4,4,4,4.3
50,4,3.5,4,3,3,3.6
82.8,4,,4,4,4,6.9
105,7,,4,6,6,8.3
52,4,,2,2,3,4.86
16,4,1,5,3,4,5.7
85,,,2,3,3,2.65
90,,,1,2,1,6
35,,,5,3,4,6
90,5,5.5,2,3,2,4.49
92,,7,1,2,1,5
70,,,2,3,3,6.69
26,,,2,,,3.85
27,5.3,4,3,3,3,5.2
36,,4,2,2,2,3.68
31.9,3.5,3,2,2,3,6
50,4,4,5,4,4,8.5
133.8,4.5,10,1,2,1,1.3
43,3.8,10,4,3,3,8.3
31,,,5,3,,3.9
140,4,,1,,,4.8
45,6,20,4,4,5,8.9
60,7.3,,5,,,9.3
44,4,6,1,1,1,4.2
30,4,2.5,3,2,2,3.25
85,,,2,4,3,7.7
88.75,,,3,4,,5.5
100,5,5,2,3,3,9.9
38.7,,,4,4,2,6.15
78,6,,,,,9.4
52,,4.5,,,,5.1
48,,,5,,,5.5
57,3.51,4,4,4,5,5.8
85,,,2,4,3,7.5
75.5,,12,2,3,2,8.99
55,,,4,4,,5.65
72,4.5,13,3,3,3,4.3
58,,,1,,,4.1
28,,,3,4,3,1.89
30,,,4,4,3,5.2
33,5,6,5,4,3,6.8
37,5,,4,3,4,9.8
123,4,6,,2,,5.3
76,4,10,4,4,5,7.7
37,4.6,,5,3,4,4.95
37,,,5,3,,6.9
63,4.2,5,4,5,7,8.2
45,4.5,,5,7,7,7.5
62,,,3,,,7
75,5,5,2,3,2,3.65
56,4,5,5,5,6,7.69
28,,,4,,,10
64,,6,3,4,4,3.6
65,,4,,,,6.5
30,,,6,6,5,4.2
73,,6,,,,5.8
38,,,3,3,3,1.69
82,4.1,10,2,3,3,8.2
38,4,35,5,3,4,4.5
45,7,20,4,4,5,9
50,3.5,10,4,3,3,7.5
43,,,5,5,3,8.5
100,,,,5,5,5.6
37,6,3,4,3,3,6.9
51,4,,2,,,5.62
18,,,3,3,3,3.3
42,4,4,5,4,5,8.3
18,,,2,,,2.45
126.6,6.65,12,,,,5.5
47,,,2,3,2,5.5
48,,,5,3,4,8.2
51,,,1,,,4.3
32,3,2.5,5,3,3,6.1
31,4.8,4,5,3,3,4.95
52,,6,4,4,3,4
40,,,7,4,5,9
60,4,7,5,6,5,8.8
89,4.5,10,2,4,3,4.3
162,6,2,,2,2,3.5
40,,,5,,,4.2
35,4,3,5,3,4,4.95
45,4.2,,5,4,4,5.3
64,4,10,3,3,2,5.7
62,,,3,5,,7.95
40,4,3,2,2,2,2.45
39,4,12,2,3,2,3.4
48,6,5,3,4,3,4.7
30,4.7,,4,,,5.9
60,4,7,3,3,3,5.2
67.5,4.5,11,4,4,4,8.8
126,7,2,1,2,1,1.4
94,6,4,2,3,3,3.75
44,,,4,3,3,9
58,4,4,3,4,3,5.2
45.8,5,3,1,2,2,2.59
39,1,4,3,2,3,3.75
42,,,6,5,4,9.9
30,4,,5,3,3,2.55
71,4.2,6,3,4,4,4.5
33,,,5,4,3,6.1
54,,,4,,,8.99
40,,,,,,4.6
40,4,12,3,3,3,5.6
73,4,8,2,3,1,4.5
140,,8,3,5,5,7.7
112.6,4,5,1,2,2,4.65
52,4.8,15,5,4,3,6.3
42,4,8,2,2,3,3.6
60,5,4,5,,,8.9
50,,,,,,7.9
49,3.6,6,3,2,3,4.3
43,,,5,,,6.46
39,,3,5,8,,5.9
75,,3,3,4,,8.5
47,4.5,3,2,2,2,2.5
75,5,,2,3,3,5.65
68.8,4.3,8,3,3,3,9.7
96,,,4,8,7,8.19
56,,,2,5,2,4.3
61.9,4,5,3,3,3,7.9
32,3.7,5,2,2,2,5.29
40,7.3,4,5,3,,7.7
38,,,5,5,5,7.8
35,5,,5,3,4,5.65
49,4.9,3.5,3,4,3,2.9
81,4.5,19,4,4,6,8.3
95,5,11.5,3,4,3,7.1
37,,,5,3,4,4.95
72,4.5,,2,3,2,3.7
48,4.4,5,3,4,3,4.6
48,,,4,,,8.5
33,13,,3,,,7.8
61,,,,4,,6.1
45,4.5,,5,3,4,9.5
92.4,,,3,4,5,8.9
65.5,5,12,5,6,6,5.9
80,4,,4,5,5,8.95
75,5,5,2,3,2,3.65
70.73,,46,2,2,2,3.65
58,4,5,4,4,4,5.85
22,,,5,3,3,5.7
67,4,,3,3,4,5.9
36,,3,2,3,3,4.68
46,,3.5,6,6,6,7.75
70,5,,4,5,5,9.5
35,39,25,5,4,4,5.69
57,,,3,3,3,2.95
45,,,5,,,5.3
52,,5,3,,,4.19
97,6,7.5,3,3,3,7.2
82,5,,2,2,2,4.3
40,4.4,,4,3,3,3.8
43,4.3,,4,2,3,3.43
40,4,3,5,4,4,5.35
77,,4,3,5,4,3.3
75,4,,2,3,3,6.5
42,4.4,,5,,,9.3
54,,4.5,5,5,3,7.5
211.3,,,,,,9
35,3,2.5,2,2,2,3.99
85.9,4,16,,,,5.1
37,,,4,4,,7.4
48,,,2,3,2,3.6
30,,,4,2,,4.75
54,4.1,,6,5,5,8.5
33,4,3.3,3,3,3,1.58
56,,,2,3,2,4.2
35,,,5,7,8,7.9
32,3.5,3,5,3,3,2.5
